Earth x,Earth y,Earth z,Earth_anomaly x,Earth_anomaly y,Earth_anomaly z
1233.451132,188.5930365,833.5124808,11667.14402,2245.676458,6550.395741
1224.746196,184.7217262,846.7223679,9616.798091,1832.866651,5535.250227
1215.899103,180.8289949,859.8280499,11682.64395,2204.273058,6891.427778
1206.911034,176.9153184,872.8280178,9720.184174,1815.199467,5874.484865
1197.783182,172.9811734,885.720783,6502.248726,1201.534112,4024.945305
1188.516758,169.0270393,898.5048707,12530.92404,2290.711427,7942.588556
1179.112985,165.0533958,911.1788276,12449.01037,2250.731499,8077.649922
1169.573106,161.0607252,923.7412146,8546.702157,1527.813029,5675.649228
1159.898371,157.0495095,936.190615,6140.42297,1084.995482,4172.383073
1150.090051,153.0202339,948.5256251,9850.357949,1719.921001,6847.235228
1140.149428,148.9733837,960.7448615,12106.97417,2088.242713,8607.77073
1130.077796,144.9094449,972.8469605,6211.533111,1058.005126,4516.125841
1119.876466,140.8289058,984.8305729,10706.38754,1800.207076,7958.812514
1109.546758,136.7322546,996.694371,10073.17321,1671.378835,7654.926913
1099.090008,132.6199805,1008.437044,7844.733099,1283.942034,6093.389581
1088.507561,128.4925733,1020.057302,5823.970283,939.8637984,4623.252664
1077.800777,124.3505243,1031.553869,9552.007883,1519.247098,7748.497138
1066.971027,120.1943249,1042.925491,6387.557818,1000.817162,5294.23735
1056.019691,116.0244662,1054.170933,9990.752565,1541.310956,8459.966648
1044.948165,111.8414411,1065.288976,8683.011127,1318.27918,7511.097619
1033.757851,107.6457425,1076.27842,5577.670074,832.9008724,4928.487792
1022.450165,103.4378633,1087.138087,9074.343962,1331.993468,8189.804695
1011.026529,99.21829618,1097.866816,8782.040285,1266.352346,8095.15471
999.4883823,94.98753563,1108.46346,7619.630916,1078.630496,7173.206719
987.837166,90.74607423,1118.9269,6682.86537,928.0430239,6425.017364
976.0743352,86.49440591,1129.256028,7380.004652,1004.600416,7245.812788
964.2013527,82.23302401,1139.449758,6051.133303,806.7609105,6067.041106
952.2196922,77.96242251,1149.507021,5884.262974,767.687625,6024.722476
940.1308338,73.68309451,1159.426768,6610.314938,843.1052623,6911.479564
927.9362645,69.39553231,1169.207971,7705.080095,959.7395562,8226.843223
915.6374841,65.10022961,1178.849616,5409.994648,657.3577271,5898.852134
903.2359966,60.79767848,1188.350709,9961.489764,1179.310831,11092.28864
890.7333141,56.48837079,1197.710277,7211.852126,830.7556163,8201.355712
878.1309576,52.17279849,1206.927363,8046.321123,900.5684864,9345.40558
865.430453,47.85145233,1216.00103,4805.720972,521.7724813,5700.928084
852.6333349,43.52482302,1224.930359,4746.286654,499.024192,5751.164356
839.7411436,39.19340052,1233.714448,9372.636091,952.439961,11601.42531
826.7554267,34.85767431,1242.352416,8180.095002,801.7056794,10344.11074
813.6777356,30.51813244,1250.843398,8810.686496,830.8342044,11383.39439
800.5096321,26.1752637,1259.186547,4893.512037,442.8099125,6460.357815
787.2526781,21.82955423,1267.381037,5158.579864,446.5988435,6959.71366
773.9084449,17.48149067,1275.426058,6568.913979,542.2473407,9058.085374
760.478508,13.13155838,1283.320818,5923.773895,464.4470775,8349.957859
746.9644488,8.780242035,1291.064543,6536.00163,484.5604112,9419.058178
733.3678521,4.428024981,1298.656477,4188.229445,292.0894384,6171.734143
719.6903075,0.075389581,1306.095882,4123.789285,268.9005107,6214.870296
705.933411,-4.277182252,1313.382038,6752.432901,408.7203493,10409.69326
692.0987604,-8.629210402,1320.514241,5751.846825,320.3724969,9072.274474
678.1879596,-12.98021527,1327.491807,4698.594284,238.2543977,7584.088795
664.2026164,-17.32971837,1334.314067,7713.671232,351.3233815,12744.56587
650.1443411,-21.67724273,1340.980371,3919.661057,157.5814814,6630.549701
636.0147479,-26.02231254,1347.490085,6384.258459,221.3329519,11060.23399
621.8154555,-30.36445281,1353.842594,5548.129617,160.5123524,9846.377109
607.5480853,-34.70318997,1360.037298,5938.587242,136.4516277,10799.90715
593.2142632,-39.03805129,1366.073615,6235.403643,104.7134956,11623.78882
578.815614,-43.36856664,1371.95098,3455.44315,35.81441705,6605.125708
564.3537707,-47.69426547,1377.668844,4447.788277,16.34355141,8721.130186
549.8303666,-52.01467931,1383.226675,5538.240066,-18.24723492,11143.42367
535.2470366,-56.32934138,1388.623959,6494.3317,-68.59810933,13414.56969
520.6054198,-60.63778567,1393.860197,3177.017023,-57.6653435,6739.775752
505.9071585,-64.93954735,1398.934906,3106.520045,-81.02492276,6771.480393
491.153894,-69.23416392,1403.84762,5428.393811,-186.6433043,12164.01172
476.347271,-73.52117387,1408.597892,5929.027695,-255.4274795,13665.03802
461.4889396,-77.80011619,1413.185285,3163.294856,-165.1482602,7502.900163
446.5805473,-82.07053256,1417.609384,4350.973023,-268.8812403,10626.58508
431.623746,-86.33196539,1421.869786,3259.862152,-234.3520719,8203.454834
416.6201896,-90.58395849,1425.966106,2676.67892,-220.898808,6945.035192
401.571532,-94.82605753,1429.897975,3661.065486,-343.2500574,9801.130921
386.4794285,-99.0578098,1433.665039,2530.980071,-267.3546026,6996.470971
371.3455388,-103.2787632,1437.266959,3955.571466,-467.6092922,11299.91922
356.171523,-107.4884673,1440.703413,4768.361115,-627.3848751,14089.33244
340.9590391,-111.6864744,1443.974093,4620.776973,-673.6217539,14135.08618
325.7097504,-115.8723369,1447.078707,3674.533571,-591.3381238,11648.90759
310.4253203,-120.0456092,1450.016981,3321.686386,-588.3220176,10924.76129
295.1074138,-124.205847,1452.788651,2347.399001,-456.4653019,8018.967657
279.7576952,-128.3526082,1455.393473,2012.796032,-428.8902035,7150.864579
264.3778322,-132.4854512,1457.831215,1937.832952,-451.799087,7169.639043
248.9694919,-136.6039367,1460.101663,3725.320696,-949.3173584,14375.17531
233.5343422,-140.707627,1462.204617,2625.826732,-730.8626588,10584.93834
218.074053,-144.7960854,1464.13989,3126.239,-950.1163849,13188.24401
202.5902948,-148.868877,1465.907312,1999.814202,-663.6645012,8845.883512
187.0847399,-152.925568,1467.506728,1740.892023,-631.1191569,8091.697903
171.5590568,-156.9657277,1468.937997,2291.63981,-908.2469307,11219.10213
156.0149208,-160.988925,1470.200994,2540.475873,-1102.041034,13134.46156
140.4540052,-164.9947313,1471.295608,1896.574428,-901.918668,10385.49521
124.8779825,-168.9827198,1472.221742,1516.598459,-792.2709852,8825.10152
109.2885285,-172.9524648,1472.979316,2121.880468,-1220.807291,13169.83714
93.68731702,-176.9035426,1473.568263,1719.789568,-1093.207605,11433.75421
78.07602503,-180.8355306,1473.988532,1805.983403,-1273.288353,12924.07033
62.45632731,-184.7480083,1474.240084,1037.677878,-815.293527,8038.539669
46.82990181,-188.6405564,1474.322899,1299.80572,-1144.652155,10972.48785
31.19842356,-192.5127578,1474.236968,1086.161598,-1079.712225,10070.74639
15.5635734,-196.3641957,1473.982298,1327.896813,-1503.168225,13652.58419
-0.07297353,-200.1944567,1473.558912,1276.295578,-1663.475914,14722.74434
-15.70953972,-204.0031281,1472.966845,632.1275076,-962.1412182,8303.645456
-31.34444464,-207.7897986,1472.20615,483.1501752,-874.9537869,7367.979947
-46.9760095,-211.5540589,1471.276891,564.5634448,-1247.8429,10259.26809
-62.60255595,-215.2955013,1470.179151,327.94457,-917.7919456,7371.214116
-78.22240607,-219.0137203,1468.913024,400.2038774,-1501.558286,11787.0982
-93.83387773,-222.7083109,1467.47862,345.1952561,-1920.46816,14742.14707
-109.4352927,-226.3788709,1465.876066,154.8492881,-1601.333737,12026.28991
-125.0249727,-230.0249998,1464.105501,25.25038332,-1473.419116,10831.00177
-140.6012351,-233.6462976,1462.16708,-63.44036472,-1072.096702,7717.113722
-156.1624017,-237.2423674,1460.060973,-185.1997487,-1398.316541,9860.106067
-171.7067926,-240.8128135,1457.787364,-341.8124858,-1684.901538,11643.22636
-187.2327293,-244.3572424,1455.346455,-417.5616181,-1542.977325,10452.9828
-202.7385297,-247.8752613,1452.738459,-623.6110732,-1856.72551,12335.63512
-218.222515,-251.3664803,1449.963607,-866.8707287,-2173.948689,14169.02628
-233.6830078,-254.8305114,1447.022145,-757.7135934,-1649.272457,10548.64769
-249.1183285,-258.2669679,1443.914332,-891.8481,-1721.712031,10809.57658
-264.5267964,-261.6754646,1440.640445,-971.34463,-1690.454115,10421.23494
-279.9067345,-265.0556191,1437.200776,-758.7157197,-1205.559071,7299.444748
-295.2564669,-268.407051,1433.59563,-835.9944552,-1225.208806,7288.01458
-310.5743116,-271.7293805,1429.825331,-913.1833435,-1244.726174,7275.747975
-325.8585951,-275.0222314,1425.890216,-990.2740376,-1264.109021,7262.646013
-341.1076411,-278.2852288,1421.790638,-2110.110092,-2537.362354,14331.65459
-356.3197742,-281.5179998,1417.526967,-1859.829789,-2117.210547,11759.0907
-371.4933178,-284.7201734,1413.099588,-1399.478893,-1514.74504,8274.333632
-386.6265987,-287.8913809,1408.508903,-2529.747756,-2613.126916,14041.75932
-401.7179467,-291.0312564,1403.755328,-1515.010301,-1498.435434,7922.208939
-416.7656868,-294.1394349,1398.839296,-1450.28863,-1377.461648,7166.561863
-431.7681504,-297.2155546,1393.761256,-1653.584393,-1512.091596,7742.917975
-446.7236667,-300.2592555,1388.521675,-1875.073655,-1654.635486,8340.511717
-461.6305685,-303.2701799,1383.121034,-3356.588546,-2864.300471,14214.70676
-476.4871898,-306.2479728,1377.559831,-2966.929411,-2452.905832,11986.46292
-491.291865,-309.1922811,1371.838581,-2336.97691,-1875.089815,9023.640473
-506.042931,-312.1027542,1365.957816,-1904.665371,-1485.438943,7040.762385
-520.7387263,-314.9790442,1359.918083,-3329.235176,-2527.349455,11800.16362
-535.3775915,-317.8208054,1353.719949,-2760.795582,-2042.700065,9395.826759
-549.9578678,-320.6276946,1347.363995,-2478.409832,-1789.419861,8109.561178
-564.4779027,-323.3993718,1340.850818,-4407.125016,-3108.43606,13881.17062
-578.9360422,-326.1354989,1334.181037,-3678.337543,-2537.043742,11164.85012
-593.3306358,-328.8357409,1327.355283,-3490.068304,-2356.187844,10219.15147
-607.6600354,-331.4997652,1320.374207,-3950.987201,-2613.134075,11170.77543
-621.9225969,-334.1272423,1313.238478,-3714.965277,-2409.044927,10151.20355
-636.1166789,-336.7178457,1305.948779,-5143.45263,-3272.720627,13594.54044
-650.2406418,-339.2712511,1298.505814,-4374.468456,-2733.075885,11192.31422
-664.2928506,-341.7871379,1290.910303,-2717.081506,-1667.975111,6734.382333
-678.2716748,-344.2651884,1283.162984,-5006.372182,-3021.625663,12028.57122
-692.1754839,-346.7050872,1275.264613,-4964.13071,-2947.439287,11569.28294
-706.0026548,-349.106523,1267.215965,-2932.861422,-1714.018801,6634.164301
-719.7515685,-351.4691873,1259.017828,-4655.096794,-2679.164293,10225.81263
-733.4206072,-353.7927746,1250.671016,-6150.234043,-3487.547634,13126.93031
-747.0081595,-356.076983,1242.176354,-3712.271999,-2075.035403,7702.42979
-760.5126193,-358.3215138,1233.534689,-5936.781143,-3272.519705,11979.98709
-773.9323851,-360.5260722,1224.746885,-5892.96137,-3204.707472,11570.30876
-787.2658598,-362.6903662,1215.813824,-5534.519518,-2970.481454,10577.29275
-800.5114511,-364.8141078,1206.736407,-6291.753047,-3334.037134,11708.89498
-813.667575,-366.8970127,1197.515553,-5655.610348,-2959.930952,10252.4951
-826.7326491,-368.9387997,1188.152201,-6019.477177,-3112.490439,10633.134
-839.7050999,-370.939192,1178.647307,-3629.944562,-1854.953613,6250.178125
-852.5833613,-372.8979166,1169.001844,-3697.56754,-1867.940057,6207.649922
-865.3658708,-374.814704,1159.216807,-7350.919801,-3672.196717,12036.27417
-878.0510735,-376.6892889,1149.293207,-3831.571548,-1893.286847,6120.393747
-890.6374229,-378.5214102,1139.232076,-7163.558364,-3502.158302,11165.76612
-903.1233778,-380.3108105,1129.034462,-6550.960588,-3169.469087,9965.982269
-915.5074071,-382.057237,1118.701434,-4029.353504,-1929.717149,5984.076352
-927.7879838,-383.7604407,1108.234079,-6092.787502,-2889.007399,8835.050747
-939.9635927,-385.4201774,1097.633502,-7973.951355,-3744.327133,11292.13675
-952.0327249,-387.0362071,1086.900828,-6602.182602,-3070.750006,9132.122735
-963.9938796,-388.6082939,1076.0372,-6716.17362,-3094.716308,9075.153387
-975.845568,-390.1362071,1065.043779,-4958.53757,-2263.998559,6546.270565
-987.5863074,-391.6197203,1053.921747,-5942.376619,-2688.960738,7665.908553
-999.2146255,-393.0586115,1042.672302,-8742.86971,-3921.524184,11022.2427
-1010.72906,-394.4526638,1031.296663,-9072.723306,-4034.473765,11179.1863
-1022.128158,-395.801665,1019.796066,-8710.681589,-3840.771588,10491.07721
-1033.410478,-397.1054079,1008.171767,-4658.140225,-2036.863713,5484.154288
-1044.574589,-398.3636901,996.4250404,-6183.693636,-2681.907119,7117.098152
-1055.619071,-399.5763144,984.5571768,-7327.700224,-3152.61221,8245.259726
-1066.542514,-400.7430885,972.5694883,-7916.841707,-3379.2492,8709.418215
-1077.343521,-401.8638256,960.4633034,-4895.30545,-2073.334845,5265.402258
-1088.020705,-402.9383435,948.2399721,-6127.290201,-2575.332326,6443.829114
